"Folder","File","Status","SizeMB","ExpectedHash","ActualHash"
"3N073","3N073.R2.fq.gz","Failed","3527.74","0d09d2a5a5e26afe47640e46e9a3524f","f089192023f2eaa7296f57291b44e97b"
"3N172","3N172.R2.fq.gz","Failed","2484.18","78551e6d0373b6d4b937bebafca99d4b","4771465e131f3588429351e253c858c5"
"3N271","3N271.R1.fq.gz","Failed","2828.15","9b5c55e052938caa92c78c13458b70d2","5a56473040005bd744f4f44ea339f641"
"3N271","3N271.R2.fq.gz","Failed","2848.09","2f572b85f8add0d6f6aa9798cbd3bf3f","80a530489151a723480c0746bbcacf19"
"3N272","3N272.R1.fq.gz","Failed","2439.26","fc6025fa596259f728fded43e90640ef","0d4c06dbaf94ba3d1aca7c8e5c531b0a"
"3N273","3N273.R1.fq.gz","Failed","2952.44","5b7a2d380e0807882c19781c80061f6f","b47641746a11064b225bafdbbf1e7609"
"3P071","3P071.R1.fq.gz","Failed","2540.31","cc93162d6b756cb75f28e5419892e6b3","5873cb550ebf14dc0c36853528fa65eb"
"3P073","3P073.R1.fq.gz","Failed","2741.59","05f83c1fe2edc8433a3a7524d5e215be","65b6122237c61ae1d93074e23cb2eb64"
"3P172","3P172.R1.fq.gz","Failed","2856.37","3844423b4fed5dd608830b92b8371941","f310ed941f71c357bc418379b1499857"
"3P172","3P172.R2.fq.gz","Failed","2886.22","770ac17c9beab475b13eb4196dedf6ba","29fe9d41be3ca8825b332f9c90e9eb94"
"3P271","3P271.R1.fq.gz","Failed","3174.77","cb37260ccf683a9f8d263335c2e1e223","c3a0250cce28d3dde6778447568fbc42"
"3P272","3P272.R1.fq.gz","Failed","2138.05","28a0f593a595ecf5a5cca78240de2629","4da83213ed9224b925fa99ca4dabb49e"
"6N071","6N071.R1.fq.gz","Failed","2316.82","b26d5e39fbb03cd045807f864bcd4488","dc05ea797deb97a9d5bf4128717b638d"
"6N072","6N072.R1.fq.gz","Failed","2942.95","4e143d28fdab8ad1dce717c8ff5629d0","7aca751290b8f9f39c4f3fea793909a8"
"6N073","6N073.R1.fq.gz","Failed","2639.09","81360c369901d62d37a83e96eab631c9","7615a5c89cb05bcbfb0b55ad083f4b6e"
"6N073","6N073.R2.fq.gz","Failed","2650.37","c291231349c8b86f9c36d1a6ba259391","8a35985830b4434123b8a80d3dfe1bb1"
"6N101","6N101.R1.fq.gz","Failed","2941.87","698dc6d20107620e40deaeb8a26fd749","470de34dde24c2c42dca3328dacb4241"
"6N101","6N101.R2.fq.gz","Failed","2939.12","393df3af1d6e0ac2077e87b9724441a3","abb22c4f88306ab9af3385b564074d1d"
"6N103","6N103.R2.fq.gz","Failed","6530.43","ead082318c7a657eb8c40925167ffc85","e2857a4aa414225b9a84b334fbe22794"
"6N173","6N173.R1.fq.gz","Failed","3171.46","c2c30231ab3a001f94d4b67b0972b9be","3131227f493a615ade8c36a070c7bcf1"
"6N271","6N271.R2.fq.gz","Failed","2278.61","5e60d8b571e8c939db314331c14948de","6e1ff45a9f0982441546980073bf80f3"
"6N273","6N273.R1.fq.gz","Failed","1996.05","a1e9bbd53dde2fc3e7b9a1f92b491ddd","9148e616dfb2d2985415ab4e30d67188"
"6P073","6P073.R1.fq.gz","Failed","3180.13","51f4ba4003980172d12299f4a6b8ca4c","4d2b8e63d9aef20e708cd5bccabe6dfb"
"6P171","6P171.R1.fq.gz","Failed","5741.35","c7ccef0762ae1bb0d87a5cb0a34f8761","31223ae8395d40b00871f5a850bf4f98"
"6P172","6P172.R1.fq.gz","Failed","2323.52","cf989aa240404bf97042ac3ae57d42fc","fdc5e2864fa41cd4fc11a7a183a59451"
"6P172","6P172.R2.fq.gz","Failed","2330.89","8cef1e3a4dac23927e56105ec2a9023c","522727ed113da03df6970ed11a730d67"
"6P173","6P173.R1.fq.gz","Failed","2396.85","b4c8effbb45807a010ac613e0d268843","4098b3d313fca9d2b9b581d5d6b5a524"
"6P173","6P173.R2.fq.gz","Failed","2415.61","2af9dd64263e7c883fad86beeb9c70a1","cf12cee0a9731935cdd422e3aecd7254"
"6P272","6P272.R1.fq.gz","Failed","2086.88","cc2cadca6394ad2204027857b4693a78","2abfdb82955ca8c281de147d147731a3"
"6P272","6P272.R2.fq.gz","Failed","2107.43","cff2bab7164740763205a017a076e1b9","c3d8e5713addbf58e86a583a3c3032d0"
"6P273","6P273.R2.fq.gz","Failed","4541.23","ebfbebeb36934406883eb2f38951758d","92ef3ccf282e13c59e963c866d9e3864"
